Organization,FY,trip_ct,Common_Carrier_AIR_TRAIN,Lodging,Meals_Incidentals,Rental_Car,POV,Misc_Expenses,Local_Trans,Voucher_Fee,TMC_Fee
Federal Acquisition Service,2011,3108,1281373.52,1322375.47,761163.35,103485.75,105888.91,316160.6,111198.69,44962,16014.56
Ofc of Civil Rights,2011,67,34061.69,21252.89,18587,67.34,2734.27,6718.82,4343.27,938,113
"R5-Great Lakes-CHI, IL",2011,5500,902005.47,1107101.42,755163.33,97005.01,112573.37,299818,161783.99,77537.5,23767.93
Ofc of Chief Financial Officer,2011,397,149259.98,190871.39,152054.14,27022.45,16966.08,47571.14,16207.93,6097.5,2580.6
Ofc of Communications and Marketing,2011,43,23775.8,14539.2,9362,913.42,296.82,5251.03,2340.94,602,480
Ofc of the Chief Acquisition,2011,122,49704.52,64912.41,33071.5,3466.67,3100.65,19090.56,6511.73,1734.5,735.25
Ofc of the Chief Human Capital Officer,2011,11,2121.3,2899,1930.5,921.5,107.1,1064.11,1086,150,108.5
"R10-NW/Arctic-Auburn, WA",2011,1829,576635.11,621521.63,394748,52193.12,34930.42,153186.77,34129.41,25900,9413.27
"R11-Nat'l Capital-Wash., DC",2011,473,153290.63,192331.57,106476.75,8863.38,11585.19,47014.03,23936.77,6771,404.1
"R3-Mid Atlantic-Phil, PA",2011,2971,453959.6,764752.71,483470.39,26931.71,78948.3,251256.43,40134.76,41815.5,2445.25
Federal Supply Service,2011,100,39878.02,23208.63,18380.5,8795.91,5360.31,6996.2,1577.08,1396.5,1001.5
Ofc of  Governmentwide Policy,2011,268,90519.88,99874.7,56920.75,3008.16,11878.49,30408.53,10508.83,3738,502.5
Ofc of Citizen Svcs and Innovative Technologies,2011,143,56406.93,50407.09,25040.5,3535.44,6911.79,11852.05,4241.96,2026,1390.3
Ofc of General Counsel,2011,388,107360.95,128712.25,64670.5,11706.58,13304.27,32267.68,13352.53,5423,3218.25
Ofc of Sm Business Utilization,2011,47,24079.87,20745.58,11155.25,1235.57,318.95,4304.11,2450.69,657.5,NULL
Ofc of the Administrator,2011,243,96537.47,87177.25,51429.08,8714.32,7073.93,20691.7,8619.02,3437.5,2688.75
"R1-New England-Boston, MA",2011,1070,221052.55,281900.48,176327.56,11755.67,40174.44,72322.08,27252.78,15047.5,3044.25
"R4-SE Sunbelt-Atlanta, GA",2011,3939,899662.64,1039754.99,664154.1,102636.69,177296.02,289023.96,35407.66,55637.5,28681.68
"R9-Pacific Rim-SFO, CA",2011,3986,1200468.75,1312312.25,880886.75,129849.21,108528.06,325913.88,124468.55,56529.5,36555.99
Federal Technology Service,2011,34,23267.9,17416.82,8608.25,2555.9,2132.66,4596,372.06,489.5,NULL
GSA Board of Contract Appeals,2011,33,11894.9,9795.28,6887.25,2258.37,1071.37,3108.89,1038.39,474,255.5
OC and IG Affairs,2011,13,7853.33,5431.25,2809.25,775.32,288.89,1258.01,587.95,181.5,127.25
Ofc of Chief People Officer,2011,603,166946.34,231145.73,132502.95,10439.63,21348.34,71959.86,32562.53,8555.5,3943.75
Ofc of the CIO,2011,505,171080.02,227612.29,121189.54,15189.08,13932.69,59217.94,20849.75,7061.5,763
Ofc of Transport and Prop Mgmt,2011,26,6925.2,6665.99,5800,231.76,780.1,1829.4,1010,357.5,154.75
Public Buildings Service,2011,1894,745938.51,725809.1,402709.5,47620.81,42188.75,206113.96,114027.62,27087.5,16159.13
R2-NE and Caribbean-NYCNY,2011,1656,378062.74,488869.04,311776.75,17923.86,39866.29,136811.07,107031.44,23369,5524.75
"R6-The Heartland-KC, MO",2011,2272,338496.91,628702.54,370520.93,27195.88,63797.46,132175.97,37375.91,32069,10971.76
"R7-Greater SW-Ft. Worth, TX",2011,2998,946018.25,753487.94,486666.5,84280.69,97645.84,182710.11,42325.68,42221,16795.49
"R8-Rocky Mountain-DEN, CO",2011,1425,454846.67,450101.16,253407.3,43127.6,61489.21,118659.8,25331.47,20322,11268.5
