GDS_Record_Locator,Reservation_Date,Ticket_Issue_Date,Trip_Departure_Date,Ticket_Number,Airline_Name,Cabin_Class,Domestic_International_Indicator,Origin_Airport_Code,Destination_Airport_Code,Routing,Invoice_Amount,Tax_Amount,Total_Amount,Mileage,Exchange_Indicator,Exchange_Original_Ticket_Number,Refund_Indicator,Original_Invoice_Number,Online_Indicator,Fare_Category
HXEBPY,00:00.0,00:00.0,00:00.0,7204238774,US AIRWAYS,Coach,D,DCA,FLL,DCA/FLL/DCA,-221.4,-38.4,-259.8,-1807,N,,Y,,N,Economy Restricted Fare (Non-Contract)
MGPDAQ,00:00.0,00:00.0,00:00.0,7203973541,UNITED AIRLINES,Coach,D,DCA,PWM,DCA/EWR/PWM/EWR/DCA,-409.3,-74.3,-483.6,-965,N,,Y,,Y,Economy Unrestricted Fare (Non-Contract)
YLMDQA,00:00.0,00:00.0,00:00.0,7204238895,UNITED AIRLINES,Coach,D,EWR,DEN,EWR/DEN,-372.09,-38.81,-410.9,-1615,N,,Y,,N,Economy Unrestricted Fare (Non-Contract)
JRUKTZ,00:00.0,00:00.0,00:00.0,7204238898,UNITED AIRLINES,Coach,D,EWR,DEN,EWR/DEN,-372.09,-38.81,-410.9,-1615,N,,Y,,N,Economy Unrestricted Fare (Non-Contract)
ARZZRN,00:00.0,00:00.0,00:00.0,7201952058,DELTA AIR LINES,Coach,D,JFK,IAD,JFK/IAD,-241.86,-39.94,-281.8,-228,N,,Y,,N,Economy Restricted Fare (Non-Contract)
ERVGBN,00:00.0,00:00.0,00:00.0,7203973736,DELTA AIR LINES,Coach,D,ORD,DTW,ORD/DTW/ORD,137.68,32.12,169.8,469,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
ORAHXC,00:00.0,00:00.0,00:00.0,7204238791,DELTA AIR LINES,Coach,D,ORD,DTW,ORD/DTW/ORD,137.68,32.12,169.8,469,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
HXEBPY,00:00.0,00:00.0,00:00.0,7204238774,US AIRWAYS,Coach,D,DCA,FLL,DCA/FLL/DCA,221.4,38.4,259.8,1807,N,,N,,N,Economy Discounted Government (Non-Contract)
BMTSGF,00:00.0,00:00.0,00:00.0,7204238811,VIRGIN AMERICA,Coach,D,LAX,SFO,LAX/SFO,56.74,15.16,71.9,338,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
FYKFBM,00:00.0,00:00.0,00:00.0,,SOUTHWEST AIR,Coach,D,CLE,MDW,CLE/MDW/CLE,264.18,41.62,305.8,615,N,,N,,Y,YCA City Pair Fare (Contract)
EKHWRA,00:00.0,00:00.0,00:00.0,7203973706,AMERICAN,Coach,D,ATL,MIA,ATL/MIA/ATL,171.16,34.64,205.8,1194,N,,N,,Y,_CA Deep Discount City Pair Fare (Contract)
